ORD,DFW,LAX,ATL,DEN,SFO,IAH,PHX,LAS,SEA,BOS,LGA,JFK,MSP,EWR,DTW,MCO,CLT,BWI,PHL,SLC,MIA,SAN,MDW,DCA,FLL,DAL,HOU,TPA,BNA,STL,PDX,OAK,AUS,CLE,SMF,SJC,SNA,MCI,IAD
-1,-11,60,9,14,-7,-15,-18,72,-19,-20,13,-10,-4,-12,31,-13,-15,-13,42,-20,-9,-2,25,-11,23,-16,-17,-15,5,2341,5,237,19,-14,1,139,-9,15,-20
33,2344,-16,-10,-16,27,-10,4,-18,-19,-18,-17,-18,-14,-12,39,-11,32,74,-19,-14,-3,128,73,55,-19,51,2340,-17,4,-20,3,-18,-10,-15,3,-2,83,37,-18
12,32,-9,46,24,14,7,-19,-8,-14,-20,-11,-18,69,-6,31,27,-14,130,120,-5,12,20,-13,5,58,55,-17,-17,-9,-19,-13,37,25,-9,39,-2,-17,-11,42
-1,3,144,118,-3,-14,93,-3,-6,12,-2,5,110,93,8,44,-4,-20,104,61,-14,-16,29,-16,-18,102,-3,-10,61,197,-1,317,-17,-18,-19,8,-17,28,51,75
-9,15,-19,74,0,-9,5,325,10,-19,24,20,-13,170,-18,36,-14,1,-12,10,37,16,-18,10,8,128,-19,87,-9,-15,-13,12,-20,-1,-12,5,-17,22,2,-10
-15,52,-10,-10,-14,-15,3,-20,-20,-7,-2,-15,48,117,32,-19,-8,20,1,-5,-17,-20,-20,-18,81,-6,-4,-20,-14,-11,2344,-2,-9,2,-19,-9,1,11,-18,-15
231,2341,5,47,2,-3,0,-14,-5,-3,-14,33,-20,-18,7,89,-20,34,10,7,163,74,-10,15,95,43,-9,-4,-19,-18,65,-18,2,-19,25,-20,-6,-19,27,2
0,69,-16,41,25,-19,-4,2344,-16,-19,1,-10,-8,27,-20,16,-2,23,-13,39,40,2345,-14,8,-10,0,-17,65,399,55,177,-10,0,121,-20,-17,2,34,85,97
19,-4,-20,-5,-16,-11,-15,-20,164,44,-3,127,59,93,-17,21,9,-18,-16,-13,-3,-9,135,12,18,-14,-17,-4,-17,-5,8,77,12,4,0,20,-13,-1,864,366
-7,16,109,22,-12,71,2,-19,7,221,23,-17,131,42,44,-2,81,-14,-7,-1,157,46,9,-1,15,5,22,0,-15,-15,20,74,-18,-20,44,-18,-16,-19,-12,3
